------------------------------------
Frequenza [GHz]:     9.4000
Lambda [cm]:     3.1915
R:    67.0213[cm] =    21.0000[wl]
a:    23.6170[cm] =    7.4000[wl]
b:     7.3404[cm] =    2.3000[wl]
Shift Factor:     0.0000
Seed:     132786
------------------------------------
Theta[°]     Phi[°]    Delta_R[m]
------------------------------------
   36.5967  177.9310  0.000000
   39.7489  181.9780  0.000000
   39.7489  185.9341  0.000000
   39.7489  189.8901  0.000000
   39.7489  193.8462  0.000000
   39.7489  197.8022  0.000000
   39.7489  201.7582  0.000000
   39.7489  205.7143  0.000000
   39.7489  209.6703  0.000000
   39.7489  213.6264  0.000000
   39.7489  217.5824  0.000000
   39.7489  221.5385  0.000000
   39.7489  225.4945  0.000000
   39.7489  229.4505  0.000000
   39.7489  233.4066  0.000000
   39.7489  237.3626  0.000000
   39.7489  241.3187  0.000000
   39.7489  245.2747  0.000000
   39.7489  249.2308  0.000000
   39.7489  253.1868  0.000000
   39.7489  257.1429  0.000000
   39.7489  261.0989  0.000000
   39.7489  265.0549  0.000000
   39.7489  269.0110  0.000000
   39.7489  272.9670  0.000000
   39.7489  276.9231  0.000000
   39.7489  280.8791  0.000000
   39.7489  284.8352  0.000000
   39.7489  288.7912  0.000000
   39.7489  292.7473  0.000000
   39.7489  296.7033  0.000000
   39.7489  300.6593  0.000000
   39.7489  304.6154  0.000000
   39.7489  308.5714  0.000000
   39.7489  312.5275  0.000000
   39.7489  316.4835  0.000000
   39.7489  320.4396  0.000000
   39.7489  324.3956  0.000000
   39.7489  328.3516  0.000000
   39.7489  332.3077  0.000000
   39.7489  336.2637  0.000000
   39.7489  340.2198  0.000000
   39.7489  344.1758  0.000000
   39.7489  348.1319  0.000000
   39.7489  352.0879  0.000000
   39.7489  356.0440  0.000000
   39.7489    0.0000  0.000000
   39.7489    3.9560  0.000000
   39.7489    7.9121  0.000000
   39.7489   11.8681  0.000000
   39.7489   15.8242  0.000000
   39.7489   19.7802  0.000000
   39.7489   23.7363  0.000000
   39.7489   27.6923  0.000000
   39.7489   31.6484  0.000000
   39.7489   35.6044  0.000000
   39.7489   39.5604  0.000000
   39.7489   43.5165  0.000000
   39.7489   47.4725  0.000000
   39.7489   51.4286  0.000000
   39.7489   55.3846  0.000000
   39.7489   59.3407  0.000000
   39.7489   63.2967  0.000000
   39.7489   67.2527  0.000000
   39.7489   71.2088  0.000000
   39.7489   75.1648  0.000000
   39.7489   79.1209  0.000000
   39.7489   83.0769  0.000000
   39.7489   87.0330  0.000000
   39.7489   90.9890  0.000000
   39.7489   94.9451  0.000000
   39.7489   98.9011  0.000000
   39.7489  102.8571  0.000000
   39.7489  106.8132  0.000000
   39.7489  110.7692  0.000000
   39.7489  114.7253  0.000000
   39.7489  118.6813  0.000000
   39.7489  122.6374  0.000000
   39.7489  126.5934  0.000000
   39.7489  130.5495  0.000000
   39.7489  134.5055  0.000000
   39.7489  138.4615  0.000000
   39.7489  142.4176  0.000000
   39.7489  146.3736  0.000000
   39.7489  150.3297  0.000000
   39.7489  154.2857  0.000000
   39.7489  158.2418  0.000000
   39.7489  162.1978  0.000000
   39.7489  166.1538  0.000000
   39.7489  170.1099  0.000000
   39.7489  174.0659  0.000000
   39.7489  178.0220  0.000000
   43.0010  181.8947  0.000000
   43.0010  185.6842  0.000000
   43.0010  189.4737  0.000000
   43.0010  193.2632  0.000000
   43.0010  197.0526  0.000000
   43.0010  200.8421  0.000000
   43.0010  204.6316  0.000000
   43.0010  208.4211  0.000000
   43.0010  212.2105  0.000000
   43.0010  216.0000  0.000000
   43.0010  219.7895  0.000000
   43.0010  223.5789  0.000000
   43.0010  227.3684  0.000000
   43.0010  231.1579  0.000000
   43.0010  234.9474  0.000000
   43.0010  238.7368  0.000000
   43.0010  242.5263  0.000000
   43.0010  246.3158  0.000000
   43.0010  250.1053  0.000000
   43.0010  253.8947  0.000000
   43.0010  257.6842  0.000000
   43.0010  261.4737  0.000000
   43.0010  265.2632  0.000000
   43.0010  269.0526  0.000000
   43.0010  272.8421  0.000000
   43.0010  276.6316  0.000000
   43.0010  280.4211  0.000000
   43.0010  284.2105  0.000000
   43.0010  288.0000  0.000000
   43.0010  291.7895  0.000000
   43.0010  295.5789  0.000000
   43.0010  299.3684  0.000000
   43.0010  303.1579  0.000000
   43.0010  306.9474  0.000000
   43.0010  310.7368  0.000000
   43.0010  314.5263  0.000000
   43.0010  318.3158  0.000000
   43.0010  322.1053  0.000000
   43.0010  325.8947  0.000000
   43.0010  329.6842  0.000000
   43.0010  333.4737  0.000000
   43.0010  337.2632  0.000000
   43.0010  341.0526  0.000000
   43.0010  344.8421  0.000000
   43.0010  348.6316  0.000000
   43.0010  352.4211  0.000000
   43.0010  356.2105  0.000000
   43.0010    0.0000  0.000000
   43.0010    3.7895  0.000000
   43.0010    7.5789  0.000000
   43.0010   11.3684  0.000000
   43.0010   15.1579  0.000000
   43.0010   18.9474  0.000000
   43.0010   22.7368  0.000000
   43.0010   26.5263  0.000000
   43.0010   30.3158  0.000000
   43.0010   34.1053  0.000000
   43.0010   37.8947  0.000000
   43.0010   41.6842  0.000000
